Songtitel;Interpret;Spotify URL;slug
You Never Can Tell- Leipzig 7/7/13;Bruce Springsteen;https://open.spotify.com/track/3LuKxQSIr2ZqIDJAxEgxBE?si=8284d453a71441e7;you-never-can-tell-leipzig-7-7-13-bruce-springsteen
Moving On;Leonard Cohen;https://open.spotify.com/intl-de/track/5jTFrebadVF0sinGqkuHsO?si=889d33bd3cbe4453;moving-on-leonard-cohen
The Feeling Begins;Peter Gabriel;https://open.spotify.com/intl-de/track/2j4HxCMrAf3QFnoKDoYxKf?si=6910197dab3e4725;the-feeling-begins-peter-gabriel
Giorgia;Ray Charles;https://open.spotify.com/intl-de/track/4DEAiNBvq5yBy7NzpVc02h?si=b73cc79209d0479c;giorgia-ray-charles
Shine On You Crazy Diamond (Pts. 1-5) Live At Pompeii 2016;David Gilmour;https://open.spotify.com/intl-de/track/4NvwzS7tbqFHPg4FyBetuk?si=3a89e5a31eb945bc;shine-on-you-crazy-diamond-pts-1-5-live-at-pompeii-2016-david-gilmour
Tom Trauber's Blues (Waltzing Matilda) - 2008 Remaster;Rod Stewart;https://open.spotify.com/track/58b6AG8RNsHOgVQIfXt3nQ;tom-trauber-s-blues-waltzing-matilda-2008-remaster-rod-stewart
Take This Waltz - Paris Version;Leonard Cohen;https://open.spotify.com/intl-de/track/4QbvmYYVLl8LNUsOXstLft?si=7b9edc512ae845a0;take-this-waltz-paris-version-leonard-cohen
Despasito;Luis Fonsi, Daddy Yankee;https://open.spotify.com/track/7CUYHcu0RnbOnMz4RuN07w;despasito-luis-fonsi-daddy-yankee
Occidentali's Karma (Radio Edit);Francesco Gabbani;https://open.spotify.com/track/4DI8nD6NTduIhBjNblWkmA;occidentali-s-karma-radio-edit-francesco-gabbani
In Control (feat. Selin);Mahmut Orhan, Ali Arutan, Selin;https://open.spotify.com/track/1JDwfM6fzE7HtRukcJSZDd;in-control-feat-selin-mahmut-orhan-ali-arutan-selin
Killing me softly;Perry Como;https://open.spotify.com/track/6ZwFScIDvpnke7VIFYw80t;killing-me-softly-perry-como
Magic Moments;Perry Como;https://open.spotify.com/track/1UviWMzF3JTVHWpHS46ql7;magic-moments-perry-como
Ocean;John Butler;https://open.spotify.com/track/59tcQJiHwApzE4h6yVnL9i;ocean-john-butler
Wait;M83;https://open.spotify.com/track/3rTnGUeDrnZV22DvRuUuXr;wait-m83
Für Elise;Beethoven;https://open.spotify.com/track/3NVLPRKRNEyTDEnTK7mHOP;fur-elise-beethoven
Let it all go;Birdy, RHODES;https://open.spotify.com/track/5MzXUNfn8AAcz4Z6j2KgTK;let-it-all-go-birdy-rhodes
Prometo - Cata Acoustic Sessions;Pablo Alboràn;https://open.spotify.com/track/5QWQO1uEyxH2GZ2HqsNdPy?si=278c3bcbbc5e497d;prometo-cata-acoustic-sessions-pablo-alboran
Hold on;Tom Waits;https://open.spotify.com/track/3GlYv2EDC7EBoslv2dOE0G;hold-on-tom-waits
L`amore è;Enrico Nigiotti & Matilde Gioli;https://youtu.be/Y0t0NEeSnaM?si=k-NLF4ccSIEhrCJi;l-amore-e-enrico-nigiotti-matilde-gioli
If I Should Fall Behind - Live at the Point Theatre, Dublin, Ireland - November 2006;Bruce Springsteen;;if-i-should-fall-behind-live-at-the-point-theatre-dublin-ireland-november-2006-bruce-springsteen
Scharlachrot;Patent Ochsner;https://open.spotify.com/track/0Js2QjUABQA2Mjq5IAZvyH;scharlachrot-patent-ochsner
The Thrill is Gone;B.B. King;https://open.spotify.com/track/4NQfrmGs9iQXVQI9IpRhjM;the-thrill-is-gone-b-b-king
Pasos de cero;Pablo Alboràn;https://open.spotify.com/track/18mmN3VrFWRi6SsSBJf6WJ;pasos-de-cero-pablo-alboran
Charpentier : Te Deum H146;Marc-Antoine Charpentier, Michel Corboz;https://open.spotify.com/track/2V5vaKFIS0DCo6jQ3zY827;charpentier-te-deum-h146-marc-antoine-charpentier-michel-corboz
These Memories;Hollow Coves;https://open.spotify.com/track/3ZOD3aghbxBkgKsLu2jOEK;these-memories-hollow-coves
Je te laisserai des mots;Patrick Watson;https://open.spotify.com/track/44A0o4jA8F2ZF03Zacwlwx;je-te-laisserai-des-mots-patrick-watson
Campari Soda;Taxi;https://open.spotify.com/track/28Iqj8A8wvAU0daTlxYZsf;campari-soda-taxi
L`encre de tes yeux;Lilian Renaud et les 2000 Choristes;https://youtu.be/QYLV9ZzQIVA?si=O9rCUMgaT7cNreZ4;l-encre-de-tes-yeux-lilian-renaud-et-les-2000-choristes
Child in Time - Live 2009;Stay Tuned, Jon Lord;https://open.spotify.com/track/0h7t9jzbNl65McrOq3gQds;child-in-time-live-2009-stay-tuned-jon-lord
079;Lo & Leduc;https://open.spotify.com/track/3dfCKQy9JY2ixI58zTeUn9;079-lo-leduc
