slug,url
you-never-can-tell-leipzig-7-7-13-bruce-springsteen,https://open.spotify.com/track/3LuKxQSIr2ZqIDJAxEgxBE?si=8284d453a71441e7
moving-on-leonard-cohen,https://open.spotify.com/intl-de/track/5jTFrebadVF0sinGqkuHsO?si=889d33bd3cbe4453
the-feeling-begins-peter-gabriel,https://open.spotify.com/intl-de/track/2j4HxCMrAf3QFnoKDoYxKf?si=6910197dab3e4725
giorgia-ray-charles,https://open.spotify.com/intl-de/track/4DEAiNBvq5yBy7NzpVc02h?si=b73cc79209d0479c
shine-on-you-crazy-diamond-pts-1-5-live-at-pompeii-2016-david-gilmour,https://open.spotify.com/intl-de/track/4NvwzS7tbqFHPg4FyBetuk?si=3a89e5a31eb945bc
tom-trauber-s-blues-waltzing-matilda-2008-remaster-rod-stewart,https://open.spotify.com/track/58b6AG8RNsHOgVQIfXt3nQ
take-this-waltz-paris-version-leonard-cohen,https://open.spotify.com/intl-de/track/4QbvmYYVLl8LNUsOXstLft?si=7b9edc512ae845a0
despasito-luis-fonsi-daddy-yankee,https://open.spotify.com/track/7CUYHcu0RnbOnMz4RuN07w
occidentali-s-karma-radio-edit-francesco-gabbani,https://open.spotify.com/track/4DI8nD6NTduIhBjNblWkmA
in-control-feat-selin-mahmut-orhan-ali-arutan-selin,https://open.spotify.com/track/1JDwfM6fzE7HtRukcJSZDd
killing-me-softly-perry-como,https://open.spotify.com/track/6ZwFScIDvpnke7VIFYw80t
magic-moments-perry-como,https://open.spotify.com/track/1UviWMzF3JTVHWpHS46ql7
ocean-john-butler,https://open.spotify.com/track/59tcQJiHwApzE4h6yVnL9i
wait-m83,https://open.spotify.com/track/3rTnGUeDrnZV22DvRuUuXr
fur-elise-beethoven,https://open.spotify.com/track/3NVLPRKRNEyTDEnTK7mHOP
let-it-all-go-birdy-rhodes,https://open.spotify.com/track/5MzXUNfn8AAcz4Z6j2KgTK
prometo-cata-acoustic-sessions-pablo-alboran,https://open.spotify.com/track/5QWQO1uEyxH2GZ2HqsNdPy?si=278c3bcbbc5e497d
hold-on-tom-waits,https://open.spotify.com/track/3GlYv2EDC7EBoslv2dOE0G
l-amore-e-enrico-nigiotti-matilde-gioli,https://youtu.be/Y0t0NEeSnaM?si=k-NLF4ccSIEhrCJi
if-i-should-fall-behind-live-at-the-point-theatre-dublin-ireland-november-2006-bruce-springsteen,https://open.spotify.com/track/5abnD7oKKBWUHyven8FHJy
scharlachrot-patent-ochsner,https://open.spotify.com/track/0Js2QjUABQA2Mjq5IAZvyH
the-thrill-is-gone-b-b-king,https://open.spotify.com/track/4NQfrmGs9iQXVQI9IpRhjM
pasos-de-cero-pablo-alboran,https://open.spotify.com/track/18mmN3VrFWRi6SsSBJf6WJ
charpentier-te-deum-h146-marc-antoine-charpentier-michel-corboz,https://open.spotify.com/track/2V5vaKFIS0DCo6jQ3zY827
these-memories-hollow-coves,https://open.spotify.com/track/3ZOD3aghbxBkgKsLu2jOEK
je-te-laisserai-des-mots-patrick-watson,https://open.spotify.com/track/44A0o4jA8F2ZF03Zacwlwx
campari-soda-taxi,https://open.spotify.com/track/28Iqj8A8wvAU0daTlxYZsf
l-encre-de-tes-yeux-lilian-renaud-et-les-2000-choristes,https://youtu.be/QYLV9ZzQIVA?si=O9rCUMgaT7cNreZ4
child-in-time-live-2009-stay-tuned-jon-lord,https://open.spotify.com/track/0h7t9jzbNl65McrOq3gQds
079-lo-leduc,https://open.spotify.com/track/3dfCKQy9JY2ixI58zTeUn9
let-her-go-music-travel-love,https://open.spotify.com/track/7MJKFjpVvGogYl6LUzYYUU
apnea-ricardo-arjona,https://open.spotify.com/track/63z9zAp64gmL5hhCFuFRuh
le-mantra-du-coeur-michel-pepe,https://open.spotify.com/track/0yhk2jt0g2u7Im5lRtavt2
the-sea-haevn,https://open.spotify.com/track/5AmGcNoPr7JiXzpJs2lYMd
volar-alvaro-soler,https://open.spotify.com/track/2HDFTyYRVp9qfzJi2hDrjz
sofia-alvaro-soler,https://open.spotify.com/track/5vj59ONIVbyhcrI8ZSwoRo
fragile-sting,https://open.spotify.com/track/5oE6INocVL9viDow5y8QNM
manitoumani-m-toumani-diabate-sidiki-diabat-fatoumata-diawara,https://open.spotify.com/track/40sgwuGnpN1XQ3AbE9exPD
unstoppable-sia,https://open.spotify.com/track/1yvMUkIOTeUNtNWlWRgANS
giudizi-universali-ilaria,https://open.spotify.com/track/41xt6XndN2OpPWy557YEpa
que-andaras-haciendo-live-include-speech-by-ismael-serrano-ismael-serrano,https://open.spotify.com/track/7eyPMtIrJqOZZePfQ6kIcL
c-e-tempo-with-ivano-fossati-ivano-fossati,https://youtu.be/e1xOUFi9VRo?si=g5iveMjSXMYngMvF
chiaro-di-luna-lorenzo-jovannotti,https://open.spotify.com/track/6t4XT3FQGdB7EjqvfAahNx
a-te-lorenzo-jovannotti,https://open.spotify.com/track/0XtVfBWnnWDwZveSlsAyKx
farfalla-bianca-ultimo,https://open.spotify.com/track/0osQl9IUWOAARZt1PfcULp
dance-me-to-the-end-of-love-live-in-london-leonard-cohen,https://open.spotify.com/track/1WzrIB8ev1KiOtXITd8Rxq?si=4212ad571dce41d4
j-te-l-dis-quand-meme-patrick-bruel,https://open.spotify.com/track/1Ek1OEhcEw9gRr5fxVizhk?si=23e4017b4f874933
dune-mosse-zucchero-miles-davis,https://open.spotify.com/track/7CfOR8N2E4v4K62PKipP0I
hurricane-bob-dylan,https://open.spotify.com/track/1lqMLr9Wj7SM2F9AikGcxN
sogni-appesi-ultimo,https://open.spotify.com/track/2HgBmx6tfhRO417ahshpeQ
top-10-single-charts-italy-16-09-2018-chartexpress,https://youtu.be/tBRdhfk25XY?si=Ttxy09DKJqnk0zmV
where-the-heart-is-haevn,https://open.spotify.com/track/6LnrQluSbs9SybsWQLWQe5
father-is-that-enough-gotthard,https://open.spotify.com/track/4fgZJjO2ZGrhaSfCXvQQAd
zusammen-die-fantastischen-vier,https://open.spotify.com/track/7mckfRql6fSmEb2TfhhYdc
le-vent-nous-portera-noir-desir-cover-ecco,https://www.youtube.com/watch?v=D9HCnwTLIjY
castle-on-the-hill-ed-sheeran,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
nera-irama,https://open.spotify.com/track/6Lc0La3OwOmAouQjbID4uX
asturias-leyenda-isaac-albeniz-simon-dinnigan,https://open.spotify.com/track/4wYpjral4wvOld6talKDM4
dentro-la-tasca-di-un-qualunque-mattino,https://open.spotify.com/track/7BxBMrUN9d9B3nWZJhEFOt
